               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.080833,            0.031347,                   0,             0.32318,              0.2963,             0.28837,            0.086723,            0.042665,            0.014903,                   0,            0.070268,           0.0033036,           0.0033036
                   1,            0.056105,            0.023682,                   0,             0.67988,             0.53704,             0.67382,             0.27255,            0.044096,            0.010325,                   0,            0.040202,           0.0065712,           0.0065712
                   2,            0.051037,            0.020606,                   0,             0.44214,             0.81481,             0.51937,             0.25479,            0.041998,           0.0086444,                   0,             0.01007,           0.0097728,           0.0097728
                   3,            0.046668,            0.018287,                   0,             0.68833,             0.55556,             0.72696,             0.31876,            0.038693,           0.0079446,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.040837,            0.018065,                   0,             0.96001,             0.90741,             0.95356,             0.55738,            0.027753,           0.0071139,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.038114,            0.017941,                   0,             0.87123,             0.87709,             0.91274,             0.42829,            0.033967,           0.0077608,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.035966,            0.016727,                   0,             0.94589,             0.92593,             0.97386,             0.59411,            0.027364,           0.0069698,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.035299,             0.01572,                   0,             0.94461,             0.94755,             0.97975,             0.56934,            0.029328,           0.0070863,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.032893,            0.015663,                   0,             0.93609,             0.98148,             0.98324,             0.59474,            0.024924,           0.0067279,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.03406,            0.015868,                   0,             0.98062,             0.93727,             0.98292,             0.61503,            0.022991,           0.0070338,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.031982,             0.01538,                   0,              0.9902,             0.94444,             0.99075,             0.58798,            0.021675,           0.0068416,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.030917,             0.01404,                   0,             0.96692,             0.94444,             0.97111,             0.57096,            0.025687,           0.0070271,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.031809,            0.015355,                   0,             0.99245,             0.94444,             0.98786,             0.57157,            0.028452,           0.0066339,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.030641,            0.014437,                   0,             0.99741,             0.92593,             0.98642,             0.58299,            0.023711,           0.0066593,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.030133,            0.014932,                   0,             0.99566,             0.92593,             0.97782,             0.60093,            0.024482,           0.0064924,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.030425,            0.014576,                   0,                   1,             0.97002,             0.99464,             0.62523,            0.024036,           0.0062424,                   0,            0.008614,            0.008614,            0.008614
                  16,             0.02918,            0.014405,                   0,             0.99266,             0.96296,              0.9941,             0.57781,            0.024527,            0.006875,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.028927,            0.014355,                   0,                   1,             0.96011,             0.98825,             0.60833,            0.022507,           0.0064984,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.029109,            0.014128,                   0,             0.94581,                   1,             0.99268,             0.61647,            0.024263,           0.0066397,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.027655,            0.014198,                   0,             0.97961,             0.98148,             0.99054,             0.61505,            0.023036,           0.0064373,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.027867,            0.013654,                   0,              0.9973,                   1,               0.995,             0.60809,            0.022522,           0.0062292,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.028457,             0.01355,                   0,             0.98138,             0.97625,             0.99109,             0.62391,            0.023645,           0.0065084,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.027797,            0.013845,                   0,             0.97806,             0.96296,              0.9918,              0.6106,            0.022017,           0.0062541,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.027174,            0.013741,                   0,             0.97354,                   1,             0.99373,             0.60261,            0.023864,           0.0064592,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.027205,            0.013543,                   0,             0.99485,                   1,               0.995,             0.61443,            0.021146,           0.0064809,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.026824,            0.013523,                   0,             0.99857,             0.98148,             0.99045,             0.64596,            0.021676,           0.0065108,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.027869,            0.013322,                   0,                   1,              0.9989,               0.995,             0.62236,            0.022411,           0.0061432,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.026525,            0.013681,                   0,             0.99476,                   1,               0.995,             0.62607,            0.023876,           0.0060547,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.026895,            0.013098,                   0,             0.99589,                   1,               0.995,             0.63717,            0.021741,           0.0060155,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.026764,            0.013473,                   0,                   1,             0.99897,               0.995,              0.6279,            0.021244,           0.0061448,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.026167,            0.013533,                   0,             0.99616,                   1,               0.995,             0.61124,            0.021418,           0.0062009,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.026011,             0.01327,                   0,             0.99787,                   1,               0.995,              0.6338,             0.02079,           0.0063115,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.025715,            0.013224,                   0,             0.98174,              0.9955,             0.99409,             0.63128,            0.022161,           0.0061772,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.025853,            0.012981,                   0,             0.99764,             0.96296,              0.9941,             0.62438,            0.022585,           0.0063186,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.026776,            0.012915,                   0,             0.99748,                   1,               0.995,             0.60413,            0.023074,            0.006271,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.024689,            0.013235,                   0,             0.99592,                   1,               0.995,             0.61448,            0.020791,           0.0063648,                   0,            0.006634,            0.006634,            0.006634
                  36,             0.02525,            0.012686,                   0,             0.99088,                   1,               0.995,             0.64641,            0.020424,           0.0063039,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.025107,            0.013221,                   0,             0.97843,                   1,             0.99409,             0.61812,            0.021919,           0.0061864,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.025736,            0.013228,                   0,                   1,              0.9801,             0.98627,             0.63421,            0.021613,           0.0063581,                   0,            0.006337,            0.006337,            0.006337
                  39,            0.024985,            0.012712,                   0,                   1,             0.99709,               0.995,               0.609,            0.021598,           0.0062396,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.024067,            0.012134,                   0,             0.98179,             0.99828,             0.99482,             0.63334,            0.020595,           0.0062865,                   0,            0.006139,            0.006139,            0.006139
                  41,            0.024698,            0.012394,                   0,             0.99268,                   1,               0.995,             0.62085,            0.021618,           0.0060928,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.024773,            0.012745,                   0,             0.97844,                   1,             0.99445,             0.63139,            0.020333,           0.0063459,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.024094,            0.012342,                   0,             0.98178,             0.99781,             0.99445,             0.63807,            0.021077,           0.0062444,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.023942,            0.012644,                   0,             0.99916,                   1,               0.995,             0.62716,            0.021566,           0.0063653,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.025142,            0.012676,                   0,             0.99825,                   1,               0.995,             0.62768,            0.019691,           0.0061153,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.023656,            0.012433,                   0,             0.99631,             0.96296,             0.99378,             0.63329,            0.020191,           0.0063407,                   0,            0.005545,            0.005545,            0.005545
                  47,            0.024032,            0.012208,                   0,             0.99848,                   1,               0.995,             0.63241,            0.020458,           0.0061987,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.024719,            0.012629,                   0,             0.99597,                   1,               0.995,             0.63551,            0.020971,           0.0060078,                   0,            0.005347,            0.005347,            0.005347
                  49,             0.02413,             0.01214,                   0,             0.99793,                   1,               0.995,             0.63803,            0.020761,           0.0060857,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.023663,            0.012501,                   0,             0.99111,             0.98148,             0.99431,              0.6235,            0.021948,           0.0063653,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.023185,             0.01274,                   0,                   1,             0.98005,             0.99464,             0.63864,            0.021692,           0.0062064,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.023777,            0.012083,                   0,                   1,             0.97935,             0.99447,             0.62996,            0.021593,           0.0063111,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.022851,            0.012105,                   0,             0.97903,             0.98148,             0.99326,             0.63319,            0.020561,            0.006396,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.022751,            0.011897,                   0,              0.9983,                   1,               0.995,             0.63612,            0.020908,           0.0062204,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.023079,            0.011733,                   0,             0.99779,                   1,               0.995,             0.63912,            0.019783,           0.0063024,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.023326,            0.012289,                   0,             0.99796,                   1,               0.995,              0.6327,            0.019611,           0.0062746,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.023301,            0.011732,                   0,             0.99807,                   1,               0.995,              0.6273,            0.020704,           0.0063295,                   0,            0.004456,            0.004456,            0.004456
                  58,             0.02198,            0.011911,                   0,                   1,             0.99876,               0.995,             0.63594,            0.021742,           0.0063355,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.022762,            0.012334,                   0,             0.99804,                   1,               0.995,             0.62329,            0.021583,           0.0063423,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.022357,            0.011767,                   0,             0.98175,             0.99614,             0.99482,             0.62571,            0.021094,           0.0065824,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.022857,            0.011776,                   0,             0.99761,                   1,               0.995,              0.6154,            0.021049,           0.0062326,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.022212,            0.011824,                   0,                   1,             0.99988,               0.995,              0.6258,            0.020856,           0.0061766,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.021127,            0.012042,                   0,             0.99924,                   1,               0.995,             0.63375,            0.020814,           0.0061879,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02284,            0.011589,                   0,             0.99814,             0.98148,             0.99331,             0.63133,            0.021166,           0.0063335,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.021815,             0.01145,                   0,             0.99577,                   1,               0.995,             0.62257,            0.021851,            0.006521,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.021735,            0.011921,                   0,             0.99929,                   1,               0.995,             0.64638,            0.020419,           0.0062228,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.022341,            0.011772,                   0,             0.99871,                   1,               0.995,              0.6378,            0.019532,           0.0063802,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.021443,            0.011684,                   0,                   1,             0.99988,               0.995,             0.62487,            0.022697,           0.0063946,                   0,            0.003367,            0.003367,            0.003367
                  69,               0.022,            0.011483,                   0,             0.99821,                   1,               0.995,             0.62755,            0.021389,           0.0062806,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.021343,             0.01156,                   0,             0.99853,                   1,               0.995,             0.61497,            0.021827,           0.0063171,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.021881,             0.01187,                   0,             0.99808,                   1,               0.995,             0.62302,            0.022318,           0.0064752,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021099,            0.011304,                   0,             0.99821,                   1,               0.995,             0.61378,              0.0218,           0.0064398,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.021062,            0.011719,                   0,              0.9986,                   1,               0.995,              0.6404,            0.021032,           0.0063181,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.02165,            0.011336,                   0,             0.99866,                   1,               0.995,              0.6298,            0.021259,           0.0062209,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.021105,            0.011584,                   0,             0.99815,                   1,               0.995,             0.61842,            0.021866,           0.0063155,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.021361,            0.011315,                   0,                   1,             0.97852,              0.9867,              0.6259,            0.022107,           0.0062972,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.020971,            0.011114,                   0,                   1,             0.97967,             0.99464,             0.62076,            0.021465,           0.0064854,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.020716,            0.011399,                   0,             0.99879,                   1,               0.995,             0.62081,            0.021236,           0.0064139,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.021199,             0.01179,                   0,             0.99907,                   1,               0.995,             0.63716,            0.021571,           0.0063683,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020301,            0.011169,                   0,                   1,             0.99919,               0.995,             0.63823,            0.020954,           0.0062478,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.020276,            0.010956,                   0,             0.99851,                   1,               0.995,              0.6175,            0.021567,           0.0063136,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.020118,            0.010978,                   0,             0.99829,                   1,               0.995,             0.63091,            0.021346,           0.0063543,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020697,            0.011188,                   0,             0.99874,                   1,               0.995,              0.6339,            0.020687,           0.0061657,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.020318,            0.011041,                   0,             0.99702,             0.98148,               0.994,             0.63853,            0.020893,           0.0062943,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020257,             0.01104,                   0,             0.98099,             0.98148,             0.98962,             0.63913,            0.021291,           0.0062282,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.020684,            0.011273,                   0,             0.98017,             0.98148,             0.98678,             0.63607,            0.021443,           0.0062672,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.019514,            0.011288,                   0,                   1,             0.98088,              0.9897,             0.63306,            0.021996,           0.0064379,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.020004,            0.011071,                   0,             0.97999,             0.98148,             0.99307,             0.64075,            0.021612,           0.0065136,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019668,            0.010823,                   0,             0.99831,                   1,               0.995,              0.6367,            0.020799,           0.0064282,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.020716,            0.010838,                   0,             0.97991,             0.98148,             0.99378,             0.62182,            0.021343,           0.0063943,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.018746,            0.010427,                   0,             0.99827,                   1,               0.995,             0.62555,            0.021223,           0.0064514,                   0,             0.00109,             0.00109,             0.00109
                  92,             0.01982,            0.010591,                   0,             0.99859,                   1,               0.995,             0.62731,            0.021406,           0.0063842,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.019376,            0.010675,                   0,              0.9983,                   1,               0.995,             0.62417,            0.021928,           0.0064654,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.02035,            0.011167,                   0,              0.9984,                   1,               0.995,             0.61941,            0.021773,           0.0064404,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01993,            0.010986,                   0,             0.99859,                   1,               0.995,             0.62563,            0.021592,           0.0064683,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.018687,            0.010977,                   0,             0.99823,                   1,               0.995,             0.61914,            0.021757,           0.0064425,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018689,            0.010516,                   0,             0.99836,                   1,               0.995,             0.61875,            0.021702,           0.0064394,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.019331,            0.010945,                   0,             0.99843,                   1,               0.995,             0.62253,            0.021336,           0.0064029,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.018392,            0.010718,                   0,             0.99853,                   1,               0.995,             0.62257,            0.021397,           0.0064154,                   0,            0.000298,            0.000298,            0.000298
